(64, 20, 100): ([175.16278143486988, 30.14962686336267, 14.560219778561036], 73.29087602559787)
(64, 20, 150): ([98.00510190801293, 238.1197177891827, 54.91812087098393], 130.34764685605987)
(64, 20, 200): ([154.7966407904254, 238.1197177891827, 54.91812087098393], 149.278159816864)
(64, 20, 230): ([127.6401190848708, 123.10970717209915, 86.20904824900923], 112.3196248353264)
(64, 50, 100): ([162.92636373527768, 124.77579893553076, 68.4470598345904], 118.71640750179961)
(64, 50, 150): ([98.48857801796105, 238.1197177891827, 86.20904824900923], 140.93911468538434)
(64, 50, 200): ([74.81310045707235, 238.1197177891827, 54.91812087098393], 122.6169797057463)
(64, 50, 230): ([90.60905032059435, 123.10970717209915, 86.20904824900923], 99.97593524723425)
(64, 100, 150): ([50.11985634456667, 238.1197177891827, 54.91812087098393], 114.38589833491108)
(64, 100, 200): ([107.61505470890214, 123.10970717209915, 54.91812087098393], 95.21429425066174)
(64, 100, 230): ([67.47592163134935, 123.10970717209915, 86.20904824900923], 92.26489235081925)
(64, 150, 200): ([107.61505470890214, 123.10970717209915, 54.91812087098393], 95.21429425066174)
(64, 150, 230): ([67.47592163134935, 123.10970717209915, 54.91812087098393], 81.83458322481081)
